	Signature 1	Signature 2	Signature 3	Signature 4	Signature 5	Signature 6	Signature 7	Signature 8	Signature 9	Signature 10	Signature 11	Signature 12	Signature 13	Signature 14	Signature 15	Signature 16	Signature 17	Signature 18	Signature 19	Signature 20	Signature 21	Signature 22	Signature 23	Signature 24	Signature 25	Signature 26	Signature 27	Signature 28	Signature 29	Signature 30
TCGA-EB-A299-01A-21D-A197-08	4.093670369353272e-17	1.1991989717441872e-16	2.177812538957354	7.998933177921866	5.2027652790078395e-14	5.656241753124143e-15	140.20126168544547	0.0	4.610065779606943e-15	7.192742172734154e-16	14.761315218332106	2.7377330940156582e-17	1.2278288731236264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2757110004429125e-14	7.363370734563698e-17	4.273138155072132	0.0	9.688670929291436e-15	3.502158126738454e-16	9.45442848601516e-17	2.3597103511473567	4.587084029683017e-16	0.0
TCGA-EB-A3HV-01A-11D-A21A-08	2.169725877822979e-17	7.005456089948533	6.620303471335447e-19	0.0	2.7785586785885594e-14	2.7481701220709858	21.722322412950863	0.0	0.0	1.6200911926369914	0.0	2.9175060188268285	0.0	0.0	4.543541216121457	0.0	1.647534412693944	4.735333351647974	15.644800082512976	1.441635970700586e-16	0.0	0.0	0.0	0.0	3.304180554815891e-15	0.0	0.41524510058943376	2.843263001244646e-16	2.5653397315743483e-15	2.564613099981645e-16
TCGA-EE-A17X-06A-11D-A197-08	15.08476079193703	37.0239840636519	0.0	14.955840681624801	0.0	0.0	711.8398328985279	2.90354774456298e-14	3.626883816382265e-15	1.1188593342998518	32.76786426382516	0.0	4.73282701761164e-16	0.0	0.0	4.438251576705574e-14	0.0	4.725860538332193	0.0	10.0795903904503	3.1626314382259664	0.4910911215440495	9.21591314552664	0.0	3.2473276959409973e-15	0.0	2.8444330942673233	5.026313401781383	7.663024836005385	0.0
TCGA-EE-A17Y-06A-11D-A196-08	4.573041260353895	7.667914530376188	0.0	8.066464163292154e-17	1.0352781931866351e-14	5.845339047390175e-16	119.73659863091906	7.277398732626269e-15	0.0	1.6369627454075492e-16	16.04523494866917	5.863767306892078e-17	1.566811487496578	0.0	1.5625493457221449	0.0	2.1114141691424906	2.0545945309727665	0.0	0.0	3.284036117109809	0.0	0.0	2.0453171091866122e-15	2.2367277850374286e-14	4.340065399164597e-14	0.0	1.486637303989092	0.0	25.91116767524874
TCGA-EE-A17Z-06A-11D-A196-08	0.0	0.0	21.533620013949527	1.3067556877706887	7.261363221840949e-14	4.707765162340497	0.0	8.869078140621724e-16	0.0	2.4223484792703546e-16	1.8307967117959234e-15	0.06846652703200919	2.782403012570423e-16	3.600144996179874e-15	0.0	5.422950231097404e-16	5.902374752381405e-17	0.3852562907067244	0.014031939152478879	1.7922339144894872	0.0	0.0	0.0	4.191870464558505	0.0	3.3228250010856466e-16	3.1957137961314836e-16	0.0	0.0	2.382401435233499e-15
TCGA-EE-A180-06A-11D-A21A-08	35.02354299650794	1.7996772585226972e-15	0.0	5.817932447963213e-15	7.732522080044174e-14	1.0101849164514123e-14	443.09506107911085	0.7170742995718625	0.0	19.269732286783935	0.0	10.931993062203514	7.774819829423941e-16	6.030165195059668e-16	0.0	0.0	1.9189087574007751e-16	0.0	0.0	0.0	3.741432636324196e-15	5.398562932753922	56.96964391413515	0.0	0.0	0.5943894289326159	0.0	0.0	0.0	0.0
TCGA-EE-A181-06A-11D-A196-08	2.3501821989797294e-15	3.911022853578882e-15	43.26705828719556	2.4995230085127313	4.3721607459888403e-13	3.4031984237849927e-13	2701.796156404097	1.5737731606264678e-14	19.99018718640055	6.324637662668493	204.52324497935535	0.0	0.0	0.0	1.3518478231036317e-14	2.6143873191136592e-14	6.937511043139133	4.542558800468388e-15	177.19575676658525	3.10828984486053e-15	54.368850408960135	3.7920530065782403	5.62773679764625	1.4053733158271558e-14	1.65136150888831e-13	3.286497446257226e-14	9.81555670827828e-16	8.677284448860666	0.0	0.0
TCGA-EE-A182-06A-11D-A196-08	7.695089028969634e-16	60.11158574165304	0.0	3.5146557366852464e-14	0.0	4.866406402239064e-14	1405.4994533541292	16.231553725052784	0.0	30.692146494043683	34.51008242920698	0.40745621887259836	3.9860734857361087e-16	2.8772085948874665e-15	15.915874446281498	0.0	1.1825372882029553e-15	0.0	3.4663779493709095	1.1339201653901942e-14	6.607318641165528e-16	4.3855977877038667e-17	0.0	0.0	0.0	51.165469641389556	3.6598725002149696e-16	1.1088467079552377e-15	7.63272000691447e-14	2.6453638897900574e-14
TCGA-EE-A183-06A-11D-A196-08	2.70732055759414	0.0	0.0	1.850446026828996e-14	1.137480087192655e-13	0.0	718.1885869280267	2.730405135594047e-14	0.0	20.418300190582524	53.77390694480577	2.19126434383443e-14	0.0	5.979223682237875e-15	0.0	0.0	0.0	2.7063258985058946e-15	4.669619110564548e-14	4.598956977759645	12.261001141065321	5.044791600718552	0.0	16.007135659447016	1.6440369600467416e-14	4.742528823265318e-15	0.0	3.2348896588997024e-16	1.3827164410545346e-14	1.0417131758857958e-14
TCGA-EE-A184-06A-11D-A196-08	6.983228087080286e-14	1.0867697215831408e-15	2.0427285801612015e-13	20.98458008165663	4.701477034610685e-13	0.0	0.0	0.0	1.036708478614267e-13	9.944477967820262e-15	2.958850278103581e-15	1.0481262521154965e-13	0.0	1.2928138032907293e-16	0.0	1.1352026046304536e-13	0.0	199.20191146312803	0.0	140.8135084552141	1.5592936139047165e-14	0.0	0.0	0.0	0.0	4.2217763632372366e-14	9.88268518444142e-15	2.5353804298901553e-14	5.4972479216916e-14	0.0
TCGA-EE-A185-06A-11D-A196-08	1.2454309078243447e-15	0.0	0.0	6.489191176038604	1.2714688056110397e-14	0.0	152.91846119728996	0.0	7.77959799101699e-15	1.4204853104558537e-17	4.1434006615736354e-17	1.5893171398272763	3.062674627849618	0.0	4.2200301155124296e-16	4.103394958149389e-15	0.0	8.907546572959238e-17	6.348665310607404	0.0	0.0	0.0	3.8779419718980415	0.0	9.422411666503736e-15	0.0	0.7099430946278491	2.2323734267134787e-15	2.235647542248853e-15	24.003805481861228
TCGA-EE-A20B-06A-11D-A196-08	3.2897945474539445e-15	0.0	0.9602035788734173	3.0248092717833086	0.0	0.0	152.57326298128197	1.3477387478020265e-14	1.5494310688262093e-16	7.769624959089402e-16	0.0	1.6556885724517152e-15	0.0	2.2030806260858884	0.0	0.0	0.0	1.3617042815771854	6.67810440181391e-15	0.0	1.5026291604311199e-15	2.904901255948094e-16	5.395740406357527	3.6148126152753712	0.0	17.46834001173879	4.3792190590509993e-16	0.398046227026516	1.0030226154387527e-14	7.981586978453706e-15
TCGA-EE-A20C-06A-11D-A196-08	3.963916163206642e-16	0.0	15.244057163005145	5.474856263409041	0.0	0.0	1637.7975730597636	117.48015787945849	24.184828940565094	7.260658326584126e-16	201.7688580930284	22.815567172901503	1.4866823065410208	0.0	4.241896037162673e-15	0.0	16.904187906054858	0.0	0.0	1.5715472979111136e-14	62.76268158340118	5.080549631871954	2.201402310004181e-15	3.1849837086237316e-15	2.281079179485671e-14	1.7779547936686043e-15	0.0	1.5292325354598394e-15	0.0	1.34421437030441e-15
TCGA-EE-A20F-06A-21D-A196-08	2.7377267676791387e-15	11.455819348672478	17.973158013945433	9.409930262176381	1.5372229885871016e-13	0.0	436.4354270563566	0.0	0.0	10.383356968926245	0.0	0.0	0.0	3.835910062161015e-15	0.0	3.0121307237391306e-15	0.0	1.3357548289799013e-15	45.52301653328858	7.464542083220944e-15	0.0	1.7913669827102325	13.533193665618363	0.0	2.337378605985909e-14	0.0	5.952269926945419e-17	7.711563478132786e-17	2.494731168305505	0.0
TCGA-EE-A20H-06A-11D-A197-08	0.0	0.0	22.993938555583473	1.9592568082263137e-15	18.891663528707337	1.781500215263149e-14	496.27007832096206	28.339940470058504	1.4988144215196053	9.242523303542783e-17	45.79938571648025	0.0	0.0	8.021053350169653e-16	0.0	0.0	7.5086312597764815	6.388653740912664e-16	5.008380290018688e-15	7.478484819045521e-15	25.475818340543576	3.045098335236905e-16	1.4574940906687152e-15	9.270788143102164e-15	0.0	0.0	0.0	0.0	6.500865127449147e-16	1.2217293863686134
TCGA-EE-A20I-06A-11D-A196-08	6.971534094113404	2.089551553942973	0.0	7.489368209286712	5.784737438144075e-14	0.0	0.0	0.0	0.0	1.135051471175579	4.2285030620148614e-16	9.541956288027486e-16	2.080514910209145	3.3356695337867876e-16	2.3447648172053956e-17	6.6330549269146955e-15	0.42538934041975884	0.0	3.0380973772862383	1.4074233947543615	0.0	5.363069648811761	7.434813953429604e-16	7.802916255526861e-16	0.0	0.0	1.7552229438352344e-16	0.0	1.125075301913604e-15	0.0
TCGA-EE-A29A-06A-12D-A196-08	0.0	4.6469443281983684	4.045738275160249e-16	2.5678240697226704e-17	2.350155728185781e-13	0.0	195.88295456861445	5.048312984423403e-16	1.2379115644830294e-15	0.0	31.134712676679737	7.062762048670287e-15	2.58430705030943	0.0	1.0585996209522913e-15	2.2204460492503126e-16	1.3001208794713188	0.0	20.450960496726417	0.0	0.0	2.815892868100174e-15	1.4640314422033278e-14	0.0	1.6562146528203044e-15	0.0	1.6901671921035872e-16	3.672220537414955e-16	0.0	0.0
TCGA-EE-A29B-06A-11D-A197-08	0.0	25.20065644108345	4.6599314581637315e-16	0.0	0.0	0.0	487.2664596982315	7.828065588739245e-15	2.473861966664732e-16	2.9119660024512198e-15	62.536986776126774	3.4755383397316445e-15	3.133778032515648e-17	1.5917746718027274e-15	2.7655232866311804e-15	0.0	0.0	4.089101030121648e-16	0.0	1.7033380882945838e-14	4.087940998447443e-15	2.8573657489439974e-16	0.0	0.0	1.2973979350545479e-14	12.38321495413523	2.0395779111998307	7.573104219223121	0.0	3.967755853979483e-17
TCGA-EE-A29C-06A-21D-A197-08	23.48266054303534	0.0	6.078575758693634e-16	0.0	1.6708192266732003e-13	0.0	344.97005920554983	2.078033592917634e-14	1.11990727764539e-14	15.181090778146311	0.0	7.677164842331452e-18	0.0	2.3468474233728196e-14	1.9928776030037585e-15	2.2444599158119354e-14	0.0	5.2591366914075546e-15	0.0	0.0	0.0	6.565054667855565	41.801134805412644	2.5650120257020857e-15	0.0	0.0	1.3283476693054188e-15	0.0	3.584628002443186e-15	0.0
TCGA-EE-A29D-06A-11D-A197-08	1.786546517838286e-15	0.0	0.0	16.091353762715986	5.738520802814605e-14	1.423732917038862e-13	3761.0344319062833	2.3883991007461407e-13	1.956872247943358e-15	0.0	346.3513861502055	0.0	0.0	0.0	0.0	2.9978424432028935e-14	0.0	1.3182719506818644e-14	1.8599743536213426e-14	4.737484333393386e-15	22.522828180794274	2.7234632056405934e-15	7.844745278102124e-14	0.0	4.230278577981869e-15	0.0	1.9273290239001065e-16	0.0	0.0	1.437827168566794e-13
TCGA-EE-A29E-06A-11D-A197-08	1.0072216757041126e-14	206.39917820886635	0.0	3.217528015766194e-14	6.528238500674065e-14	1.2305316486858e-14	3476.1076731517596	0.0	3.843255885576134e-14	0.0	6.864776143609681e-14	0.0	0.0	6.256697345570874e-14	0.0	0.0	0.0	0.0	127.23912288938902	0.0	5.3042751924468036e-14	3.3001813685760826e-16	63.25402574998426	1.7936594144719832e-14	0.0	1.2737327402422957e-14	0.0	4.3050880387815517e-16	8.958897703275792e-14	1.7959151719514686e-15
TCGA-EE-A29G-06A-12D-A196-08	0.0	3.4915932368761023e-16	27.400681243101484	0.0	2.591362912076621	4.4544054228635885e-15	354.17729835729904	0.0	1.9692727166520286e-16	5.827957577832993e-17	23.991335982651854	2.3372922546194546e-14	0.0	0.0	2.7772897116446105	1.584187761966398e-15	3.1073688212587194	7.600207166659905e-16	4.808092797112714e-16	3.82512489476193	21.12953807720569	0.0	0.0	0.0	0.0	3.256779709540561e-14	0.0	0.0	0.0	0.0
TCGA-EE-A29H-06A-12D-A197-08	5.382517006344484e-16	1.117282691782776	0.0	0.0	0.0	4.2852532344291954e-15	319.95419235743356	2.471295919157957e-15	3.078006609455943e-15	2.735380626086433	7.89639840716444e-15	0.0	2.85443317324706e-17	0.0	4.36654265789267e-15	0.0	2.608025006682773	2.498046259820405	0.0	0.0	9.598957692048588	0.0	0.0	5.488115366145496	5.1165279157114775e-15	0.0	3.6684312441913843e-16	1.2852586348077183e-15	6.5572115400284964e-15	2.528759995912093e-14
TCGA-EE-A29L-06A-12D-A196-08	17.794882241278344	61.020424252255346	1.5552134447095243e-15	18.98274568530251	1.4813340986495797e-13	0.0	1821.855365035764	0.0	3.723571872564569e-15	1.9022448590526057e-17	3.1046112515107513e-14	1.7554613918619015e-15	0.0	0.0	0.0	7.827790051739177e-15	22.724943138001674	5.583047262799517	0.0	2.990569297911723e-15	2.9902242023939565e-15	2.432949318673854	157.4096485364055	1.2852039493450857e-14	0.0	0.0	0.0	14.398509573106812	8.440515754404228e-15	33.79748495641254
TCGA-EE-A29M-06A-11D-A196-08	0.0	3.104070742880919e-17	1.8609930776037166e-16	0.0	1.3774022282141453e-13	0.0	2416.8427662047357	2.3866094880109686e-14	0.0	7.595816686714484e-15	112.40269198793217	0.0	0.0	0.0	0.0	2.5948225747442603e-16	0.0	1.818091229713675e-16	0.0	0.0	0.0	0.0	0.0	1.3887699226957137e-14	3.2849055448964928e-15	0.0	0.7545418073321921	3.269325498614771e-16	5.789215791083111e-15	0.0
TCGA-EE-A29N-06A-12D-A197-08	15.664535801852072	0.0	10.717130816035425	2.5820910581103448e-15	3.9735503703847017e-13	0.0	483.5897492023223	0.0	0.0	8.019569503797333	31.19357343121062	9.271809289679974e-15	0.0	1.605319079076856e-14	0.0	16.32909303539978	1.5422398550651375	1.509074770254803e-14	20.24399528443392	1.1644163257831105e-15	6.621231736229506	3.429610621130313	32.57649471149182	4.7362008110549457e-14	0.0	2.912765882265755e-14	0.0	2.0727760010313903	0.0	0.0
TCGA-EE-A29P-06A-11D-A197-08	0.0	1.4164888701349998e-15	0.0	2.7689907745171358e-15	10.621150852194665	3.1376957615040305e-16	282.06925537664495	8.043007124444164e-15	0.0	1.5175923580276241e-15	15.180796166054757	2.834646830312285	0.0	0.0	10.376775878996147	0.0	3.9173748957971952	3.132718112049539e-15	0.0	0.0	2.5563916804148463e-16	0.0	3.108221604788033e-14	0.0	9.62740971346656e-15	0.0	0.0	7.470913819507706e-16	0.0	0.0
TCGA-EE-A29Q-06A-11D-A197-08	5.6834461750736525	6.061214364382005	8.775923012154152e-16	6.885884945769817e-16	1.3901021823738254e-13	0.0	223.74518583089272	0.0	8.553139276231771e-15	14.302863154230868	10.753069497225301	24.874628178972063	0.13366212280585185	2.0100962318641284e-15	0.0	3.618683437683401e-15	5.4158750622123707e-17	0.0	0.0	5.2425257627293975	0.0	0.0	27.68911768969646	0.0	6.4428799122606	0.0	1.4734680525420718	0.0	2.5979392591888795	1.5493637375886142e-15
TCGA-EE-A29R-06A-11D-A197-08	2.8363285392242172	0.0	7.796289540523594e-16	17.402200039144773	0.0	2.4153714414060595e-15	653.513462207422	1.3960715323753273e-14	0.0	0.0	2.822281830568032e-15	11.158134132123555	0.0	0.0	0.0	0.0	2.6437574403076867	4.421707320363795e-16	57.67768704655726	0.0	2.5278016346123943e-15	0.0	2.1129635422218766e-14	0.0	4.9688933805156804e-17	0.0	0.391305758425449	0.0	2.1136664520333274e-15	12.377124836795188
TCGA-EE-A29S-06A-11D-A197-08	0.0	0.0	15.086350567782764	6.5930745423737105e-15	1.774021416465862e-13	0.0	1007.6816708257826	0.0	9.308040909028266e-15	0.5912778711507853	0.0	2.3008619438019373	0.0	0.0	0.0	0.0	1.4157851175218588	0.0	19.563597033054716	2.9181732431299197e-15	12.236566889642528	8.391536833288137	37.673773577014785	9.011500743465246e-16	1.2433886883573473e-14	31.67298621571568	2.0231996417245778e-16	1.3855931252439304	6.7366505847027945e-15	0.0
TCGA-EE-A29T-06A-11D-A197-08	19.307678515905934	3.229297266055321	0.0	0.0	0.0	0.0	291.69335600239856	0.0	0.0	7.3979963785955904	0.0	2.0197025265467498e-14	0.03659181289122923	0.0	2.846504125670206	0.0	0.0	7.715190065971091	0.0	0.0	3.036025699362757e-14	5.176831022341257	0.0	14.39456462632575	1.5919385304494475e-14	7.9324547586607554	1.2023431545399985e-16	1.2051903609571505e-15	3.2695354251842628	0.0
